name,type,category,age,structure,morphology,size,reserve,lat,long,status1983,size_viz,res_viz
SEGIT SIDI YOUSEF,plomb - zinc,category 1,cretaceous,cretaceous - tertiary basin,vein deposit,> 400 000 T,limited,36.243476095829998,8.398660977230000,unknown,"400000",
GARN LHALFEYA,plomb - zinc,category 2,neogene,cretaceous - tertiary basin,vein deposit,100 000 - 400 000 T,limited,36.067375633920001,8.517329667729999,unknown,"325000",
J. RSAS,plomb - zinc,category 2,cretaceous,Mole of ZAGHWEN,deposit in heaps and various,100 000 - 400 000 T,limited,36.619344389760002,10.336014222930000,unknown,"325000",
SIDI BOU AWWEN,plomb - zinc,category 1,eocene - oligocene,Miocene basin,deposit in heaps and various,> 400 000 T,75-95%,36.725537567380002,9.012095260100001,unknown,"400000","85"
WED LMADEN,manganese,category 3,neogene,Miocene basin,deposit in heaps and various,10 000 - 200 000 T,limited,36.541090873949997,8.532026406140000,unknown,"190500",
J. BOU KHIL,plomb - zinc,category 3,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,10 000 - 100 000 T,limited,36.304554836869997,9.155003984720000,unknown,"91000",
BESHSHATER,plomb - zinc,category 3,triasic,Miocene basin,deposit in heaps and various,10 000 - 100 000 T,limited,37.302735111929998,9.776347819800000,unknown,"91000",
SIDI TAYA,plomb - zinc,category 3,neogene,Mole of ZAGHWEN,deposit in heaps and various,10 000 - 100 000 T,limited,36.392518932089999,10.158358524180001,unknown,"91000",
JBILET EL KHOL,plomb - zinc,category 3,cretaceous,Mole of ZAGHWEN,deposit in heaps and various,10 000 - 100 000 T,limited,36.304064277009999,10.027982846450000,unknown,"91000",
JBILET EL KHOL,manganese,category 3,neogene,Mole of ZAGHWEN,deposit in heaps and various,10 000 - 200 000 T,limited,36.308464571430001,10.016584083010001,unknown,"190500",
J. BOU GRIN,plomb - zinc,category 1,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,> 400 000 T,limited,36.129971443599999,9.022463814380000,unknown,"400000",
J LKBOUSH,plomb - zinc,category 2,neogene,cretaceous - tertiary basin,deposit in heaps and various,100 000 - 400 000 T,limited,36.221254852869997,8.942847294320000,unknown,"325000",
DHWEHIRIYYA,plomb - zinc,category 3,eocene - oligocene,The Numidian Flysch,deposit in heaps and various,10 000 - 100 000 T,limited,37.060040106410000,9.307373792670001,unknown,"91000",
TAMRA,iron,category 3,neogene,The Numidian Flysch,deposit in heaps and various,500 000 - 5 000 000 T,limited,37.080834240199998,9.043305686180000,unknown,,
LORBOS,plomb - zinc,category 3,neogene,cretaceous - tertiary basin,deposit in heaps and various,10 000 - 100 000 T,limited,36.041378417319997,8.919327556650000,unknown,"91000",
,manganese,category 3,triasic,cretaceous - tertiary basin,deposit in heaps and various,10 000 - 200 000 T,limited,36.057966996579999,8.345817052990000,unknown,"190500",
,iron,category 3,triasic,cretaceous - tertiary basin,deposit in heaps and various,500 000 - 5 000 000 T,limited,36.053708934719999,8.366982829900000,unknown,,
EL HMEYYIMA,iron,category 3,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,500 000 - 5 000 000 T,limited,35.932714043350003,8.351597637999999,unknown,,
EL HMEYYIMA,manganese,category 3,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,10 000 - 200 000 T,limited,35.936387433669999,8.338367445690000,unknown,"190500",
J. SLATA,manganese,category 2,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,200 000 - 1 000 000 T,limited,35.918792324679998,8.454907857849999,unknown,"840000",
J. SLATA,iron,category 2,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,5 000 000 - 20 000 000 T,limited,35.912562403679999,8.468442845289999,unknown,"16250000",
J. SLATA,plomb - zinc,category 2,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,100 000 - 400 000 T,limited,35.901845810579999,8.491513830150000,unknown,"325000",
JRISA,iron,category 1,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,> 20 000 000 T,35-75%,35.882056368919997,8.708462006670000,unknown,"20000000","55"
JRISA,manganese,category 1,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,1 000 000 T,limited,35.887511857379998,8.682023667079999,unknown,"1000000",
BOU JEBER,plomb - zinc,category 2,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,100 000 - 400 000 T,75-95%,35.766422198980003,8.335173418640000,unknown,"325000","85"
BOU JEBER,fluorite,category 2,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,1 000 000 - 5 000 000 T,limited,35.775409170350002,8.317024661040000,unknown,"4200000",
BOU JEBER,barite - strontianite,category 2,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,1 000 000 - 5 000 000 T,limited,35.780901021630001,8.302259336050000,unknown,"4200000",
J. TROZZA,plomb - zinc,category 2,eocene - oligocene,Mole of EL GASRIN,deposit in heaps and various,100 000 - 400 000 T,limited,35.556101453069999,9.551859852990001,unknown,"325000",
J. LAJRED,plomb - zinc,category 2,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,100 000 - 400 000 T,limited,35.517173751089999,8.619142504919999,unknown,"325000",
EL HAMRA,plomb - zinc,category 3,cretaceous,cretaceous - tertiary basin,deposit in heaps and various,10 000 - 100 000 T,limited,35.377217895859999,8.472416564130000,unknown,"91000",
J. SHAANBI,plomb - zinc,category 3,cretaceous,Mole of EL GASRIN,deposit in heaps and various,10 000 - 100 000 T,limited,35.284074522890002,8.676243179129999,unknown,"91000",
J. ONG,iron,category 2,neogene,Mole of EL GASRIN,Stratiform and peneconformable deposit,5 000 000 - 20 000 000 T,limited,34.322436839319998,9.061830486290001,unknown,"16250000",
GAFSA,phosphate,category 3,quaternary,Saharan platform,Stratiform and peneconformable deposit,1 000 000 - 50 000 000 T,limited,34.407257243499998,8.718046924959999,unknown,"49020000",
